State,City,Region,Year,County,Investment (USD)
IL,Champaign,"Springfield, Illinois",2014,Champaign County,525000.0
MI,Grand Rapids,Grand Rapids,2012,Kent County,521667.0
TX,Richardson,Dallas,2012,Dallas County,500000.0
OK,Edmond,Oklahoma City,2013,Oklahoma County,500000.0
FL,Tallahassee,Tallahassee,2012,Leon County,500000.0
CT,North Haven,Hartford,2012,New Haven County,500000.0
MI,Detroit,Detroit,2012,Wayne County,450000.0
VA,Charlottesville,"Washington, D.C.",2012,Charlottesville (city) County,450000.0
IL,Champaign,"Springfield, Illinois",2012,Champaign County,435000.0
OR,Wilsonville,"Portland, Oregon",2014,Clackamas County,290870.0
IL,Schaumburg,Chicago,2012,Cook County,276686.0
IL,Champaign,"Springfield, Illinois",2011,Champaign County,260000.0
TX,Spring,Houston,2011,Harris County,200000.0
KS,Olathe,Kansas City,2013,Johnson County,170000.0
IL,Peoria,Peoria,2014,Peoria County,100000.0
